from_location,to_location,approx_date,mode_of_transport,reason,transcript,source_lat,source_lon,target_lat,target_lon
United States,"Berlin, Germany",April 1996,Not mentioned,Returned to Berlin for reunion and to revisit childhood locations,39358.txt,,,52.510885,13.3989367
"Svalava, Czechoslovakia","Budapest, Hungary",1942-1943,train,To check official records to confirm her father's citizenship status.,39385.txt,,,47.4978789,19.0402383
"Svalava, Czechoslovakia","Mukachevo, Czechoslovakia","April 18, 1944",cattle train,Forced deportation by Hungarian authorities to a brick factory ghetto.,39385.txt,,,,
"Mukachevo, Czechoslovakia","Auschwitz-Birkenau, Poland",May 1944,cattle train,Forced deportation to concentration camp.,39385.txt,,,50.0346203,19.1807846
"Auschwitz-Birkenau, Poland","Ravensbrück, Germany","January 18, 1945","walking (death march), then cattle train",Evacuation of Auschwitz due to approaching Soviet forces.,39385.txt,50.0346203,19.1807846,53.1944796,13.1478107
"Ravensbrück, Germany","Malchow, Germany",Early 1945,walking,Forced march to another camp.,39385.txt,53.1944796,13.1478107,53.4775641,12.4245172
"Malchow, Germany","Leipzig, Germany",Early 1945,cattle train,Transfer to forced labor in ammunition factory.,39385.txt,53.4775641,12.4245172,,
"Leipzig, Germany",Unknown rural area near Leipzig,Spring 1945,walking (death march),Forced evacuation due to Allied advances.,39385.txt,,,,
Unknown rural area near Leipzig,Nearby village,Spring 1945,walking,Seeking shelter and food after liberation by Soviet forces.,39385.txt,,,53.3206084,-6.3947006
Nearby village,Refugee gathering camp,Spring 1945,"walking, assisted by Yugoslavian slave laborers",Seeking organized assistance and repatriation.,39385.txt,53.3206084,-6.3947006,,
Refugee gathering camp,"Prague, Czechoslovakia",Spring 1945,bus,Repatriation organized by Czech authorities.,39385.txt,,,,
"Prague, Czechoslovakia","Baden, Germany",Early 1946,train,To attend her sister Olga's wedding.,39385.txt,,,,
"Baden, Germany","New York, USA","June 24, 1946",ship (Marine Perch),"Immigration to the United States, sponsored by relatives.",39385.txt,,,40.7127281,-74.0060152
"Paris, France","Bordeaux, France",Summer 1940,Train,Fleeing German invasion and bombing threats,39538.txt,,,44.841225,-0.5800364
"Bordeaux, France","Paris, France",Fall 1940,Train,Return home after German occupation of Bordeaux,39538.txt,44.841225,-0.5800364,,
"Paris, France","Clermont-Ferrand, France",1942,Train and on foot (crossing demarcation line at night),Fleeing occupied zone to join relatives in unoccupied zone,39538.txt,,,45.7774551,3.0819427
"Clermont-Ferrand, France","Lyon, France",1942,Not specified,Leaving relatives' home to find work and independence,39538.txt,45.7774551,3.0819427,45.7578137,4.8320114
"Lyon, France","Suburb of Lyon, France",1943,Not specified,Leaving job due to conflict with employer,39538.txt,45.7578137,4.8320114,,
"Lyon, France","Antibes, France",Early 1943,Not specified,"Seeking safety further south, joining friend",39538.txt,45.7578137,4.8320114,43.5812868,7.1262071
"Antibes, France","Paris, France",September 1943,Train,Returning younger sister Lea to parents in Paris,39538.txt,43.5812868,7.1262071,,
"Paris, France","La Roquette Prison, Paris, France",March 1944,Police transport,Arrested by French police after being denounced,39538.txt,,,48.8592066,2.3853468
"La Roquette Prison, Paris, France","German-administered prison, Paris, France",June 1944,Police transport,Transferred to German-administered prison,39538.txt,48.8592066,2.3853468,,
"German-administered prison, Paris, France","Drancy internment camp, France","July 24, 1944",Bus,Transferred to Drancy for deportation,39538.txt,,,,
"Drancy internment camp, France","Auschwitz concentration camp, Poland","July 31, 1944",Cattle car train,Deportation to concentration camp,39538.txt,,,50.0389061,19.1712984
"Auschwitz concentration camp, Poland","Kratzau (Chrastava), Czechoslovakia",October 1944,Train,Transferred to forced labor in armament factory,39538.txt,50.0389061,19.1712984,,
"Kratzau (Chrastava), Czechoslovakia","Paris, France",May 1945,Various trains,Returning home after liberation,39538.txt,,,,
"Paris, France","New York, USA",1949,Ship,Joining husband Nicolas Spulber in the United States,39538.txt,,,40.7127281,-74.0060152
"New York, USA","Paris, France",1949,Ship,Returning temporarily to France due to visa requirements,39538.txt,40.7127281,-74.0060152,,
"Paris, France","New York, USA",1950,Ship (George Washington),Permanent immigration to the United States,39538.txt,,,40.7127281,-74.0060152
"New York, USA","Cambridge, Massachusetts, USA",1952,Not specified,Husband's academic position at MIT,39538.txt,40.7127281,-74.0060152,42.3656347,-71.1040018
"Cambridge, Massachusetts, USA","Bloomington, Indiana, USA",1954,Not specified,Husband's academic position at Indiana University,39538.txt,42.3656347,-71.1040018,,
"Zabno, Poland",Towards Russian border,1939,Horse and buggy,Family attempted to flee the approaching German army,39906.txt,,,,
Towards Russian border,"Zabno, Poland",1939,Horse and buggy,Returned home because sister became ill,39906.txt,,,,
"Zabno, Poland","Pudelko's house, nearby village",July-August 1942,Walking,Mother arranged temporary hiding place to avoid ghetto,39906.txt,,,,
Pudelko's house,"Farmhouse of poor widow (unknown name), village near Zabno",August 1942,Walking,Mother sought a longer-term hiding place after leaving Pudelko's house,39906.txt,,,,
Farmhouse hiding place,Zabno ghetto,Late 1942,Walking at night,Brief visit to retrieve belongings and assess situation,39906.txt,,,,
Farmhouse hiding place,Woods near village,Mid-1944,Walking,"Forced out by widow and her brother, temporary hiding in woods",39906.txt,,,,
Woods near village,"Barn hiding place (with Chaim Fertig), nearby village",Mid-1944,Walking,Found new hiding place arranged by boys who helped them,39906.txt,,,,
Barn hiding place,"Zabno, Poland",January 1945,"Wheelbarrow (for mother), walking","Liberation by Russian army, returned to hometown to find survivors",39906.txt,,,,
"Zabno, Poland","Tarnow, Poland",Early 1945,Not specified,Moved to larger city due to threats from Polish underground (AK),39906.txt,,,50.0259883,20.9640584
"Tarnow, Poland","Berlin (Schlachtensee), Germany",1946,Truck (smuggled across borders),"Left Poland due to ongoing antisemitism and threats, aiming to reach the United States",39906.txt,50.0259883,20.9640584,,
"Berlin (Schlachtensee), Germany","Fürth (near Nuremberg), Germany",1946,Not specified,Assigned to a Displaced Persons (DP) camp,39906.txt,,,,
"Fürth, Germany","Montreal, Canada",October 1948,Boat,Immigrated to Canada after waiting unsuccessfully for U.S. visa,39906.txt,49.4885711,10.9587203,45.5031824,-73.5698065
"Montreal, Canada","Brooklyn, New York, USA",Around 1955,Not specified,Moved to the United States after obtaining visa,39906.txt,45.5031824,-73.5698065,40.6526006,-73.9497211
"Hamburg, Germany","Frankfurt am Main, Germany",Late 1920s,,Father received a promotion to become artistic director of the Frankfurter Schauspielhaus.,39923.txt,53.550341,10.000654,50.1106444,8.6820917
"Frankfurt am Main, Germany","Hiddensee Island, Germany",Summer 1931,,Family summer vacation.,39923.txt,50.1106444,8.6820917,54.5315962,13.0949219
"Hiddensee Island, Germany","Frankfurt am Main, Germany",Summer 1931,,"Returned home early for school, accompanied by grandmother and maid.",39923.txt,54.5315962,13.0949219,50.1106444,8.6820917
"Frankfurt am Main, Germany","Berlin, Germany",Fall 1931,,Mother moved to Berlin to be near aunt after father's death.,39923.txt,50.1106444,8.6820917,52.510885,13.3989367
"Berlin, Germany","Merano, Italy",April 1933,Train,Mother fled Germany due to fear of Nazi persecution and passport confiscation.,39923.txt,52.510885,13.3989367,46.6695547,11.1594185
"Merano, Italy","Trieste, Italy",Spring 1933,,To board a ship to Palestine after receiving visa.,39923.txt,46.6695547,11.1594185,,
"Trieste, Italy","Jaffa, Palestine",Spring 1933,Ship (Martha Washington),Immigration to Palestine.,39923.txt,,,32.0539873,34.75508
"Jaffa, Palestine","Tel Aviv, Palestine",Spring 1933,,Settled temporarily with mother's friends.,39923.txt,32.0539873,34.75508,32.0539873,34.75508
"Tel Aviv, Palestine","Ramot ha-Shavim, Palestine",Around 1935,,Placed in foster care with the Brandeis family due to mother's work and lack of supervision.,39923.txt,32.0539873,34.75508,,
"Ramot ha-Shavim, Palestine","Tel Aviv, Palestine",Late 1937 or early 1938,,Returned to live with mother due to financial difficulties.,39923.txt,,,32.0539873,34.75508
"Haifa, Palestine","New York City, USA",April 1938,Ship (SS Conte de Savoia),Moved to America to live with aunt and pursue education.,39923.txt,32.8184911,34.9988504,40.7127281,-74.0060152
"New York City, USA","Little Rock, Arkansas, USA",March 1943,,"Drafted into the U.S. Army, basic training at Camp Robinson.",39923.txt,40.7127281,-74.0060152,34.7465071,-92.2896267
"Little Rock, Arkansas, USA","Fordham University, New York City, USA",1943,,Selected for Army Specialized Training Program (ASTP).,39923.txt,34.7465071,-92.2896267,40.8617344,-73.8860317
"Fordham University, New York City, USA","Camp Ritchie, Maryland, USA",1944,,Training in prisoner of war interrogation and military intelligence.,39923.txt,40.8617344,-73.8860317,,
"Camp Ritchie, Maryland, USA","Liverpool, England",1944,Ship (convoy),Deployment to Europe during WWII.,39923.txt,,,53.4071991,-2.99168
"Liverpool, England","Litchfield, England",1944,,Temporary stationing before further deployment.,39923.txt,53.4071991,-2.99168,51.2826256,-1.3388563
"Litchfield, England","Broadway (near Stratford-on-Avon), England",1944,,Military intelligence headquarters.,39923.txt,51.2826256,-1.3388563,,
"Southampton, England","Normandy, France","June 13, 1944 (D+6)",Landing craft,Participation in the Normandy invasion.,39923.txt,,,49.0677708,0.3138532
"Normandy, France","Nordhausen, Germany",April 1945,Jeep,"Advancing with U.S. Army, liberation of Nordhausen concentration camp.",39923.txt,49.0677708,0.3138532,51.5051574,10.7925317
"Nordhausen, Germany","Leipzig, Germany",April 1945,Jeep,"Continued advance eastward, linking up with Russian forces.",39923.txt,51.5051574,10.7925317,,
"Leipzig, Germany","Deggendorf, Bavaria, Germany",Summer 1945,,Assigned to interrogate German POWs post-war.,39923.txt,,,48.7814115,13.0006423
"Deggendorf, Bavaria, Germany","Étampes, France",1945,,Preparation for demobilization and return to the U.S.,39923.txt,48.7814115,13.0006423,48.4344621,2.1614464
"Étampes, France","Nuremberg, Germany",Late 1945,Airplane,Accepted position as interpreter at Nuremberg Trials.,39923.txt,48.4344621,2.1614464,49.453872,11.077298
"Nuremberg, Germany","New York City, USA",June 1946,,Returned to the U.S. to resume education at Columbia University.,39923.txt,49.453872,11.077298,40.7127281,-74.0060152
"Sieradz, Poland","Lódz, Poland",around 1919-1920,not mentioned,Family moved after father's death for economic support and to be near relatives.,40060.txt,51.6017529,18.7399015,,
"Lódz, Poland",mountains in Poland and Czechoslovakia,August 1939,walking,Tourist trip anticipating the outbreak of war.,40060.txt,,,,
"Lódz, Poland","Warsaw, Poland",early September 1939,"walking, occasionally hitchhiking on horse carriages","Fleeing German invasion, seeking safety with relatives in Warsaw.",40060.txt,,,,
"Warsaw, Poland","Lódz, Poland",late September 1939,walking,Returning home after Warsaw surrendered to German forces.,40060.txt,,,,
"Lódz, Poland","Lódz Ghetto, Poland",early 1940,"walking, carrying belongings",Forced relocation by German authorities into the ghetto.,40060.txt,,,,
"Lódz Ghetto, Poland","Auschwitz-Birkenau, Poland",September 1944,train (cattle cars),Liquidation of the Lódz Ghetto by German authorities.,40060.txt,,,50.0346203,19.1807846
"Auschwitz-Birkenau, Poland",Coal mine labor camp (sub-camp of Auschwitz),late 1944,not explicitly mentioned,Volunteered for labor to escape harsh conditions in Auschwitz.,40060.txt,50.0346203,19.1807846,,
Coal mine labor camp,"Breslau (Wrocław), Germany",January 1945,forced march (death march),Evacuation of camps due to advancing Soviet forces.,40060.txt,,,51.1062021,17.0421314
"Breslau, Germany","Dachau concentration camp, Germany",early 1945,train (open cattle cars),Transfer of prisoners to Dachau.,40060.txt,51.1062021,17.0421314,47.6978718,10.3244047
"Dachau concentration camp, Germany","Seefeld area, Germany",late April 1945,train,"Final transport of prisoners, intended execution thwarted by approaching American forces.",40060.txt,47.6978718,10.3244047,,
"Seefeld area, Germany","Feldafing DP camp, Germany",May 1945,organized transport by UNRRA,Liberation and relocation to displaced persons camp.,40060.txt,,,,
"Feldafing DP camp, Germany","Munich, Germany",around 1946,not explicitly mentioned,"Moved to Munich after DP camp closed, started working and living independently.",40060.txt,,,48.1371079,11.5753822
"Munich, Germany","Boston, Massachusetts, USA",1951,ship (SS Taylor),"Emigration to the United States, sponsored by Jewish organization.",40060.txt,48.1371079,11.5753822,42.3554334,-71.060511
"Zdzieciol (Zhetel), Poland","Dworez, Poland",August 1942,Walking,"Escaping the liquidation of the Zdzieciol ghetto, seeking safety in Dworez ghetto",40913.txt,,,,
"Dworez ghetto, Poland","Lipiczany Forest, Poland",Late 1942 or early 1943,"Walking, guided by scouts",Escaping the ghetto to join partisan groups in the forest,40913.txt,,,,
Lipiczany Forest (initial partisan camp),"Bielski partisan camp, Lipiczany Forest",Summer or Fall 1943,"Walking, guided by partisans",Joining the Bielski partisan group for better protection and survival,40913.txt,,,,
"Bielski partisan camp, Lipiczany Forest","Nowogródek, Poland",Mid-1944,Walking,"Liberation by the Soviet Army, leaving the forest after the war",40913.txt,,,,
"Nowogródek, Poland","Łódź, Poland",Late 1944 or 1945,Not specified,Moving westward after liberation,40913.txt,,,51.7687323,19.4569911
"Łódź, Poland","Displaced Persons Camp, American Zone, Germany",1945-1946,Not specified,Seeking refuge and awaiting immigration opportunities,40913.txt,51.7687323,19.4569911,,
"Displaced Persons Camp, Germany","Bremerhaven, Germany",Late 1949,Not specified,Preparing to emigrate to the United States,40913.txt,,,53.5505392,8.5851945
"Bremerhaven, Germany","New York, United States",January 1950,Ship (General Heintzelman),Immigration to the United States,40913.txt,53.5505392,8.5851945,,
"New York, United States","Baltimore, Maryland, United States",January 1950,Not specified,Joining relatives (uncle and aunt) in Baltimore,40913.txt,,,39.2908816,-76.610759
"Baltimore, Maryland, United States","San Francisco, California, United States",1950,Not specified,Joining sisters and brother-in-law who had settled in California,40913.txt,39.2908816,-76.610759,37.7792588,-122.4193286
"San Francisco, California, United States","Burlingame, California, United States",1962,Not specified,"Moving after marriage to Gina Einstein Rosnow, closer to their workplaces",40913.txt,37.7792588,-122.4193286,37.5780965,-122.3473099
"Dresden, Germany","Biel, Switzerland",1933-1934,,"Family emigrated due to rising antisemitism in Germany, seeking a more peaceful life.",41844.txt,51.0493286,13.7381437,47.1402077,7.2439029
"Biel, Switzerland","Dresden, Germany",1934-1935,,"Father could not obtain work permission in Switzerland, forcing the family to return to Germany.",41844.txt,47.1402077,7.2439029,51.0493286,13.7381437
"Dresden, Germany","Wolfratshausen, Bavaria, Germany",Spring 1938,,Sent to a Jewish boarding school after Jewish children were expelled from regular schools.,41844.txt,51.0493286,13.7381437,47.9104632,11.4266377
"Wolfratshausen, Bavaria, Germany","Dresden, Germany",Late 1938,,"Returned home after approximately six months, possibly due to school closure or increasing danger.",41844.txt,47.9104632,11.4266377,51.0493286,13.7381437
"Dresden, Germany","Berlin, Germany",Late 1938,,Mother took her to Berlin to join a Kindertransport to Holland.,41844.txt,51.0493286,13.7381437,52.510885,13.3989367
"Berlin, Germany","The Hague, Holland",Late 1938,Train (Kindertransport),Sent to safety in Holland via Kindertransport.,41844.txt,52.510885,13.3989367,52.0799838,4.3113461
"The Hague, Holland","Bussum, Holland",1940,,"Forced relocation by German decree, moving Jews away from coastal areas.",41844.txt,52.0799838,4.3113461,52.2773656,5.1630646
"Bussum, Holland","Amsterdam, Holland",1941,,Parents thought Amsterdam would be safer; worked as domestic help.,41844.txt,52.2773656,5.1630646,52.3730796,4.8924534
"Amsterdam, Holland","Asterdorp, Holland",1941,,Returned to parents after feeling unsafe and unhappy in Amsterdam.,41844.txt,52.3730796,4.8924534,,
"Asterdorp, Holland","Amsterdam, Holland",1941,Tram,Father took her to a hiding place arranged by a church organization to avoid deportation.,41844.txt,,,52.3730796,4.8924534
"Amsterdam, Holland","Farm near Amsterdam, Holland",1941,Bicycle (at night),Smuggled out of Amsterdam to a temporary hiding place.,41844.txt,52.3730796,4.8924534,,
"Farm near Amsterdam, Holland","District nurse's house, Holland",1941,Bicycle (at night),Taken to a long-term hiding place arranged by resistance contacts.,41844.txt,,,,
"District nurse's house, Holland","Nearby farm, Holland",1944,On foot (at night),Forced to flee after being warned of betrayal and imminent SS raid.,41844.txt,,,,
"Nearby farm, Holland","Temporary safe house, Holland",1944,Bicycle (at night),Taken by resistance contacts to temporary safe house after fleeing betrayal.,41844.txt,,,,
"Temporary safe house, Holland","Another temporary address, Holland",1944,,Moved again due to safety concerns and inability to stay at previous location.,41844.txt,,,,
"Temporary address, Holland","Farm (long-term hiding place), Holland",1944,,Taken to a farm where she stayed safely hidden for 18 months until liberation.,41844.txt,,,,
"Farm (long-term hiding place), Holland","Amsterdam, Holland",May 1945,Bicycle,"After liberation, traveled to Amsterdam to witness Canadian troops entering the city.",41844.txt,,,52.3730796,4.8924534
"Amsterdam, Holland","Uncle Felix's home, Holland",May 1945,Bicycle,Reunited with uncle and aunt after liberation.,41844.txt,52.3730796,4.8924534,,
"Uncle Felix's home, Holland","Uncle Ernst's home, Bussum, Holland",Late 1945,,Moved to live with other uncle after difficulties living with Uncle Felix.,41844.txt,,,,
"Bussum, Holland","Marseilles, France",1946,,Traveled to Marseilles to board a ship emigrating to Australia.,41844.txt,52.2773656,5.1630646,,
"Marseilles, France","Melbourne, Australia",1946,Ship,Emigrated to Australia to reunite with her brother.,41844.txt,,,-37.8142454,144.9631732
"Melbourne, Australia","Sydney, Australia",Late 1940s,,Moved to Sydney for better opportunities and to join friends.,41844.txt,-37.8142454,144.9631732,-33.8698439,151.2082848
"Sydney, Australia",England,1954,,"Moved to England after marrying Ron, who was stationed there with the British Navy.",41844.txt,-33.8698439,151.2082848,52.5310214,-1.2649062
"Frankfurt am Main, Germany","Berlin, Germany",around 1928,train,Family moved due to father's business and financial difficulties,42042.txt,50.1106444,8.6820917,52.510885,13.3989367
"Berlin, Germany","Mohrung (Morag), East Prussia (now Poland)",1931,train,Visit grandmother on her deathbed,42042.txt,52.510885,13.3989367,,
"Berlin, Germany",Switzerland,"around 1928, just before moving to Berlin",unknown,Visit uncle Max Günzburger,42042.txt,52.510885,13.3989367,46.7985624,8.2319736
"Berlin, Germany",Denmark (near Helsingør),around 1934 (age 10),train and boat,Attending a Jewish summer camp,42042.txt,52.510885,13.3989367,,
"Berlin, Germany",United States,1946,ship (Marine Perch),Emigration after surviving the Holocaust,42042.txt,52.510885,13.3989367,,
"Berlin, Germany","Stuttgart, Germany",1939,Not mentioned,To find a man who had taken money promising immigration assistance,42338.txt,52.510885,13.3989367,48.7784485,9.1800132
"Berlin, Germany","Bielitz, Germany (now Bielsko-Biała, Poland)",January 1943,"Train (planned, but not completed)",Attempt to join relatives in a police camp,42338.txt,52.510885,13.3989367,,
"Berlin, Germany",Various hiding places within Berlin,January 1943 - April 1944,"Walking, local transport",Went into hiding after mother and brother were arrested,42338.txt,52.510885,13.3989367,,
"Berlin, Germany","Theresienstadt (Terezín), Czechoslovakia",April 1944,Train,Deported after being captured while in hiding,42338.txt,52.510885,13.3989367,,
"Theresienstadt (Terezín), Czechoslovakia","Deggendorf, Germany",July 1945,"Train, then military trucks",Relocation to a DP camp after liberation,42338.txt,,,48.7814115,13.0006423
"Deggendorf, Germany","Munich, Germany",1946,Not mentioned,To visit the American consulate for immigration processing,42338.txt,48.7814115,13.0006423,48.1371079,11.5753822
"Deggendorf, Germany","New York City, USA",July 1946,Ship (Marine Perch),Immigration to the United States,42338.txt,48.7814115,13.0006423,40.7127281,-74.0060152
"Lwów, Poland",Outside Lwów (small country vacation spots),Before 1939,Train,Family vacations,42450.txt,50.0634977,19.9422938,,
Lwów apartment (first floor),"Lwów apartment (third floor, same building)",Around 1937-1938,Not mentioned,Moved to a bigger apartment,42450.txt,,,,
Lwów apartment (third floor),Another apartment in Lwów,June 1941,Not mentioned,Forced eviction by German officer,42450.txt,,,,
Second apartment in Lwów,Multiple apartments within Lwów,1941-1942,Not mentioned,Repeated forced relocations by Germans,42450.txt,,,,
Apartment in Lwów,Lwów Ghetto,1942,Not mentioned,Forced relocation into the ghetto,42450.txt,49.8332616,24.0215091,,
Lwów Ghetto apartment,Basement hiding place in Lwów Ghetto,1943,Walking,Preparation for hiding from liquidation of the ghetto,42450.txt,,,,
Basement hiding place in Lwów Ghetto,Sewers beneath Lwów,1943 (during liquidation of Lwów Ghetto),"Walking, crawling",Escape and hiding from German liquidation of the ghetto,42450.txt,,,,
Initial sewer hiding place,Second sewer hiding place,1943,Crawling through sewer tunnels,"Discovered by sewer workers, forced to relocate",42450.txt,,,,
Second sewer hiding place,Third sewer hiding place (final location),1943,Crawling through sewer tunnels,Seeking safer and more suitable hiding place,42450.txt,,,,
Sewers beneath Lwów,Surface in Lwów,1944 (liberation by Russians),Climbing out of sewer,Liberation by Russian forces,42450.txt,,,,
Lwów,"Przemyśl, Poland",1944-1945,Train,Escape from Soviet suspicion and threat of deportation to Siberia,42450.txt,49.841952,24.0315921,49.7835552,22.7885113
"Przemyśl, Poland","Cracow, Poland",Winter 1944-1945,"Train, Russian army trucks",Seeking safer and more stable living conditions,42450.txt,49.7835552,22.7885113,50.0469432,19.9971534
"Cracow, Poland",Israel,1957,Not explicitly mentioned (likely ship or plane),Emigration to Israel,42450.txt,50.0469432,19.9971534,30.8124247,34.8594762
Israel,United States,1968,Not explicitly mentioned (likely plane),"Initially planned temporary stay, eventually settled permanently",42450.txt,30.8124247,34.8594762,,
"Copenhagen, Denmark","Vienna, Austria",Late 1920s,Not mentioned,Studied music with pianist Victor Schioler,43379.txt,55.6867243,12.5700724,48.2083537,16.3725042
"Vienna, Austria","Berlin, Germany",Around 1930,Not mentioned,Continued music studies,43379.txt,48.2083537,16.3725042,52.510885,13.3989367
"Copenhagen, Denmark","Berlin, Germany",Early 1930s,Night train,Monthly music studies,43379.txt,55.6867243,12.5700724,52.510885,13.3989367
"Copenhagen, Denmark","Stockholm, Sweden",1939,Not mentioned,"Concerned about Nazi threat, arranged performance engagement",43379.txt,55.6867243,12.5700724,,
"Stockholm, Sweden","Copenhagen, Denmark",Shortly after April 1940,Not mentioned,Briefly visited ill mother under disguise,43379.txt,,,55.6867243,12.5700724
"Copenhagen, Denmark","Stockholm, Sweden",Shortly after April 1940,Not mentioned,Returned to continue performance engagement,43379.txt,55.6867243,12.5700724,,
"Stockholm, Sweden","Helsinki, Finland",1940,Not mentioned,Traveling to board ship to America,43379.txt,,,60.1674881,24.9427473
"Helsinki, Finland","Petsamo, Finland",1940,Airplane,To board the ship 'American Legion' to America,43379.txt,60.1674881,24.9427473,,
"Petsamo, Finland","New York, United States",August 1940,Ship (American Legion),"Escaping Nazi threat, emigrating to America",43379.txt,,,,
"New York, United States","Palm Beach, Florida, United States",Early 1940s,Train,Seeking performance opportunities,43379.txt,,,,
"Palm Beach, Florida, United States","New York, United States",Early 1940s,Not mentioned,Returned after performances in Florida,43379.txt,,,,
"New York, United States","California, United States",Early 1940s,Car,"Drove a friend's car to California, seeking opportunities",43379.txt,,,,
United States,"Copenhagen, Denmark",1948,Ship and train,First return visit after WWII,43379.txt,,,55.6867243,12.5700724
"Quakenbrück, Germany","Hamburg, Germany",Late 1938,Not mentioned,Sent by mother to Jewish orphanage in Hamburg after father's death and increasing persecution,43762.txt,52.6757127,7.9567402,53.550341,10.000654
"Hamburg, Germany","London, England",18 July 1939,Train and boat (Kindertransport),Evacuation from Nazi Germany to safety in England,43762.txt,53.550341,10.000654,,
"London, England","Hurstpierpoint, England",Late July 1939,Train,Placement with a foster family arranged by refugee committee,43762.txt,,,50.933463,-0.1781416
"Hurstpierpoint, England","London, England",July 1940,Not mentioned,Apprenticeship in a dressmaking establishment,43762.txt,50.933463,-0.1781416,,
"London, England","Oxford, England",Early 1941,Not mentioned,Moved to join sister and work in a dress shop,43762.txt,,,,
"Oxford, England","Boars Hill, near Oxford, England",1941,Not mentioned,Employment at a residential nursery after health issues,43762.txt,,,,
"Boars Hill, near Oxford, England","Ashford, Staines, England",1942,Not mentioned,Accepted for nurse training at Ashford County Hospital,43762.txt,,,,
"Ashford, Staines, England","Bromsgrove, England",June 1946,Not mentioned,Moved after marriage to join husband who was working near Bromsgrove,43762.txt,,,52.3353816,-2.0597449
"Bromsgrove, England","Pershore, Worcestershire, England",Late 1940s,Not mentioned,Husband's new job as area manager,43762.txt,52.3353816,-2.0597449,52.1096993,-2.0754758
"Pershore, Worcestershire, England","Manchester, England",1950s,Not mentioned,"Family relocation, possibly related to husband's career",43762.txt,52.1096993,-2.0754758,53.4794892,-2.2451148
"Manchester, England","Quakenbrück, Germany",Early 1950s,Train,Visit to family graves and hometown after the war,43762.txt,53.4794892,-2.2451148,52.6757127,7.9567402
"Zamosc, Poland","Izbica, Poland",Late 1939,Buggy with horses,"Family fled Zamosc due to German invasion, seeking safety in father's hometown.",44859.txt,50.7212452,23.2595799,50.8927773,23.1587974
"Izbica, Poland",Nearby woods,Late 1939,On foot,"Escaped heavy bombardment in Izbica, hiding in the woods.",44859.txt,50.8927773,23.1587974,,
Woods near Izbica,"Izbica, Poland",Late 1939,On foot,"Returned after bombardment ceased, seeking family members.",44859.txt,,,50.8927773,23.1587974
"Izbica, Poland","Zamosc, Poland",Late 1939,Buggy with horses,Returned home after temporary refuge in Izbica.,44859.txt,50.8927773,23.1587974,50.7212452,23.2595799
"Zamosc, Poland","Wlodzimierz, Ukraine",End of 1939,Buggy with horses,Attempted to escape German occupation by crossing into Soviet-controlled territory.,44859.txt,50.7212452,23.2595799,50.8474669,24.319319
"Wlodzimierz, Ukraine","Siberia, USSR",1940,Train (cattle cars),Deported by Soviet authorities after refusing Soviet citizenship.,44859.txt,50.8474669,24.319319,56.5086361,84.5184035
"Siberia, USSR","Sverdlovsk, USSR",1942,Train (cattle cars),Transferred by Soviet authorities after release from Siberian imprisonment.,44859.txt,56.5086361,84.5184035,56.8400508,60.6347485
"Sverdlovsk, USSR","Odessa, USSR",1942,Train (cattle cars),Further transfer by Soviet authorities.,44859.txt,56.8400508,60.6347485,,
"Odessa, USSR","Kiev, USSR",1942,Train (cattle cars),Continued transfer by Soviet authorities.,44859.txt,,,50.4507554,30.5156729
"Kiev, USSR","Uzbekistan, USSR",Late 1942,Train and on foot,Final relocation by Soviet authorities to Uzbekistan.,44859.txt,50.4507554,30.5156729,41.2820342,69.2125834
Uzbekistan village (kolkhoz),"Andijan, Uzbekistan",1943,Not specified,"Moved to city after father's death, entered Polish foster home.",44859.txt,41.1388596,69.0298145,40.7833471,72.3506746
"Andijan, Uzbekistan","Bielsko, Poland",1945 (after liberation),Train,Returned to Poland after liberation with Polish children's transport.,44859.txt,40.7833471,72.3506746,52.607327,15.9228416
"Bielsko, Poland","Tarnów, Poland",1945-1946,Train,"Joined cousin Adela Blechman, preparing for emigration to Palestine.",44859.txt,52.607327,15.9228416,50.0123784,20.9880739
"Tarnów, Poland","Antwerp, Belgium",1946,Not specified,Moved to secret location in Belgium to prepare for illegal immigration to Palestine.,44859.txt,50.0123784,20.9880739,51.2211097,4.3997081
"Antwerp, Belgium","Marseille, France",Early 1947,On foot and possibly other land transport,Secretly traveled to board ship for Palestine.,44859.txt,51.2211097,4.3997081,43.2961743,5.3699525
"Marseille, France","Near Tel Aviv, Palestine",Early 1947,Ship (Theodor Herzl),Attempted illegal immigration to Palestine.,44859.txt,43.2961743,5.3699525,,
"Near Tel Aviv, Palestine","Haifa, Palestine",Early 1947,British ship,Captured by British authorities and taken to Haifa.,44859.txt,,,32.8184911,34.9988504
"Haifa, Palestine",Cyprus,Early 1947,British ship,Interned by British authorities in Cyprus detention camp.,44859.txt,32.8184911,34.9988504,34.9174159,32.8899027
Cyprus,Israel,December 1947,Ship,Allowed entry into Palestine (soon to be Israel) after internment.,44859.txt,34.9174159,32.8899027,30.8124247,34.8594762
Israel,"New York, USA","August 28, 1955",Ship (Shalom),Joined husband Carl Reitzenstein in the United States.,44859.txt,30.8124247,34.8594762,40.7127281,-74.0060152
Wysokie Litewskie,Hajnowka,Between 1939 and 1941,Not mentioned,"Family moved due to Russian occupation, father lost his position and home.",45233.txt,,,52.7317575,23.5712488
